x	y	z	timestamp
8.8	-0.3	-1.7	1688891642388
8.7	-2.0	-1.1	1688891642408
8.0	-3.8	0.0	1688891642428
7.9	-6.0	1.4	1688891642448
9.3	-6.6	1.7	1688891642468
11.8	-6.5	1.1	1688891642488
14.7	-8.0	-0.8	1688891642508
15.9	-9.0	-1.5	1688891642528
17.7	-8.0	-1.6	1688891642548
18.2	-7.7	-2.8	1688891642568
14.6	-3.3	-4.1	1688891642588
14.4	1.1	-1.4	1688891642608
17.0	1.2	1.2	1688891642628
16.4	3.2	2.5	1688891642648
16.1	5.3	3.1	1688891642668
15.2	6.2	3.1	1688891642688
14.3	6.2	3.5	1688891642708
12.4	6.9	2.6	1688891642728
10.1	7.4	1.8	1688891642748
10.2	5.9	-0.5	1688891642768
11.1	2.8	-1.6	1688891642788
11.6	0.8	-2.3	1688891642808
12.1	0.2	-3.3	1688891642828
12.9	1.5	-0.6	1688891642848
14.7	3.4	-0.8	1688891642868
14.3	1.0	-2.5	1688891642888
14.0	-0.5	-4.4	1688891642908
12.2	-0.9	-4.5	1688891642928
9.2	-1.1	-2.4	1688891642948
8.1	1.0	-1.2	1688891642968
7.8	-0.3	-2.0	1688891642988
7.1	-3.4	-1.2	1688891643008
7.1	0.2	1.0	1688891643028
9.0	-2.3	0.2	1688891643048
11.1	-5.7	0.5	1688891643068
11.3	-7.6	0.7	1688891643088
11.5	-7.8	-0.5	1688891643108
12.7	-3.5	-0.3	1688891643128
14.2	-2.3	0.2	1688891643148
15.6	-1.3	0.1	1688891643168
15.2	2.3	0.9	1688891643188
16.9	3.1	5.2	1688891643208
19.6	3.4	7.3	1688891643228
20.4	3.4	8.0	1688891643248
19.0	3.8	7.7	1688891643268
18.1	7.4	7.5	1688891643288
14.5	7.5	5.6	1688891643308
12.2	7.9	3.3	1688891643328
10.0	7.9	0.5	1688891643348
7.6	6.4	-1.6	1688891643368
6.1	3.5	-1.6	1688891643388
5.4	1.5	0.0	1688891643408
8.5	-0.3	1.4	1688891643428
9.8	-0.1	-0.1	1688891643448
9.8	1.9	0.2	1688891643468
9.2	1.7	0.5	1688891643488
9.9	-1.3	-0.9	1688891643508
10.1	-3.6	-3.4	1688891643528
10.3	-4.8	-3.6	1688891643548
9.7	-4.9	-2.6	1688891643568
8.5	-3.4	-1.0	1688891643588
9.3	-4.3	0.8	1688891643608
10.2	-7.1	1.9	1688891643628
9.8	-7.5	2.4	1688891643648
9.4	-7.3	1.8	1688891643668
9.6	-9.7	0.9	1688891643688
10.3	-10.9	0.8	1688891643708
12.0	-10.0	-0.7	1688891643728
14.0	-6.7	-2.0	1688891643748
16.1	-2.9	-0.2	1688891643768
19.7	2.0	1.4	1688891643788
19.0	6.1	1.9	1688891643808
14.9	7.7	3.2	1688891643828
12.6	6.7	4.2	1688891643848
11.6	4.8	4.1	1688891643868
10.7	5.5	2.5	1688891643888
10.1	2.6	1.4	1688891643908
10.4	1.0	-0.3	1688891643928
10.4	0.0	0.1	1688891643948
10.3	0.3	0.9	1688891643968
10.5	-0.1	0.1	1688891643988
11.0	-1.5	-1.5	1688891644008
11.4	-0.5	-1.4	1688891644028
11.3	0.2	-1.3	1688891644048
10.9	-1.2	-2.6	1688891644068
9.8	-3.9	-4.5	1688891644088
7.9	-5.1	-5.6	1688891644108
5.9	-4.0	-5.3	1688891644128
5.8	-6.1	-2.5	1688891644148
6.6	-8.4	0.1	1688891644168
9.3	-11.0	1.6	1688891644188
12.9	-12.0	0.9	1688891644208
14.3	-8.3	0.0	1688891644228
